	OTU_01	OTU_02	OTU_03	OTU_04	OTU_05	OTU_06	OTU_07	OTU_08	OTU_09	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_19	OTU_20 
Cen15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen16	7	0	24	0	0	3	0	4	0	0	0	2	0	0	0	1	0	0	0	0
Cen04	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen05	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cen07	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0
Cen01	0	4	0	4	0	2	0	5	3	4	2	0	2	0	0	0	0	2	0	0
Cen10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1
Cen03	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Cen14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
