	OTU_01	OTU_02	OTU_03	OTU_04	OTU_05	OTU_06	OTU_07	OTU_08	OTU_09	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_19	OTU_20	OTU_21	OTU_22	OTU_23	OTU_24	OTU_25	OTU_26 
Cen17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Cen16	0	0	0	0	0	30	8	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cen04	0	2	0	0	5	2	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	2	2
Cen05	0	0	0	1	0	1	2	4	0	9	5	1	0	2	2	0	10	2	3	4	0	3	0	1	0	0
Cen06	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	3	0	0	2	0	0	0
Cen07	0	0	5	0	0	4	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen01	0	0	0	0	0	0	2	0	0	0	0	3	2	4	1	0	0	0	0	0	2	4	0	0	0	0
Cen10	6	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cen03	0	0	0	2	0	1	0	0	2	0	2	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0
Cen12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
