Cen01	Cen03	Cen04	Cen05	Cen06	Cen07	Cen10	Cen12	Cen13	Cen14	Cen15	Cen16	Cen17
acr3_002		0.00593309398243359	0.0133063657653822	0.00260284716775524	0.00158254390768072	0.00884006032457165						0.00149817671893306	
acr3_003	0.00174709414566223		0.00204713319467418			0.0026520180973715							
acr3_006			0.00102356659733709			0.021216144778972						0.00199756895857741	
acr3_010					0.00237381586152108	0.00353602412982866					0.00120841978569884		
acr3_014											0.00302104946424709	0.00324604955768829	
acr3_017					0.00237381586152108					0.000506446558239835		0.00224726507839959	
acr3_018		0.0014832734956084			0.00712144758456323			0.000885844732678635			0.00725051871419301	0.000998784479288706	
acr3_019											0.0199389264640308	0.000499392239644353	
acr3_020							0.000328195002968524	0.00398630129705386			0.00120841978569884		
acr3_022			0.00716496618135962		0.00158254390768072	0.00176801206491433				0.00658380525711785	0.000604209892849418	0.000998784479288706	
acr3_023						0.00707204825965732		0.00442922366339317			0.0265852352853744		
acr3_024		0.0022249102434126		0.00607331005809555	0.000791271953840359			0.00398630129705386			0.00543788903564476	0.00624240299555441	
acr3_027	0.00524128243698668	0.003708183739021	0.00818853277869671	0.00173523144517016							0.00181262967854825		0.00143005868960862
acr3_028			0.00102356659733709									0.000249696119822176	
acr3_029	0.00349418829132445	0.003708183739021											0.00143005868960862
acr3_030						0.000884006032457166						0.00174787283875523	
acr3_031							0.0646544155847992	0.0199315064852693		0.00354512590767884	0.00181262967854825		
acr3_033		0.0022249102434126		0.00433807861292539		0.00353602412982866							
acr3_035			0.00511783298668545			0.00176801206491433							
acr3_036		0.0014832734956084	0.00409426638934836	0.0104113886710209								0.00174787283875523	
acr3_041	0.00262064121849334		0.0184241987520676			0.00176801206491433							
acr3_042						0.000884006032457166						0.000749088359466529	
acr3_045		0.0022249102434126	0.00307069979201127	0.00173523144517016	0.00553890367688251								
acr3_047		0.0014832734956084			0.00158254390768072		0.0321631102909153	0.00620091312875044		0.00354512590767884	0.00241683957139767		
acr3_048		0.00444982048682519			0.00553890367688251	0.00353602412982866		0.00664383549508976		0.00658380525711785	0.0157094572140849	0.00699149135502094	
acr3_049							0.0187071151692059	0.00132876709901795					
acr3_050								0.00664383549508976			0.0157094572140849		
acr3_051								0.0146164380891975		0.00911603804831703	0.0664630882134359		
acr3_053		0.0029665469912168	0.00204713319467418	0.011279004393606	0.000791271953840359	0.00707204825965732							
acr3_056												0.00174787283875523	0.00429017606882586
acr3_057	0.0218386768207778												0.00286011737921724
acr3_058			0.00204713319467418				0.000656390005937048						
