Gene	OTU	phylum	class	genus
arsD	arsD_0001	Deltaproteobacteria	Deltaproteobacteria	Desulfurivibrio
arsD	arsD_0002	Alphaproteobacteria	Alphaproteobacteria	Magnetospirillum
arsD	arsD_0003	Planctomycetes	Planctomycetia	Planctomyces
arsD	arsD_0004	Betaproteobacteria	Betaproteobacteria	Azoarcus
arsD	arsD_0005	Betaproteobacteria	Betaproteobacteria	Azoarcus
arsD	arsD_0006	Betaproteobacteria	Betaproteobacteria	Burkholderia
arsD	arsD_0007	Planctomycetes	Planctomycetia	Planctomyces
arsD	arsD_0008	Deltaproteobacteria	Deltaproteobacteria	Desulfurivibrio
arsD	arsD_0009	Planctomycetes	Planctomycetia	Planctomyces
arsD	arsD_0010	Gammaproteobacteria	Gammaproteobacteria	Pseudomonas
arsD	arsD_0011	Betaproteobacteria	Betaproteobacteria	Dechloromonas
arsD	arsD_0012	Actinobacteria	Actinobacteria	Rhodococcus
arsD	arsD_0013	Betaproteobacteria	Betaproteobacteria	Cupriavidus
arsD	arsD_0014	Deltaproteobacteria	Deltaproteobacteria	Anaeromyxobacter
arsD	arsD_0015	Betaproteobacteria	Betaproteobacteria	Azoarcus
arsD	arsD_0017	Deltaproteobacteria	Deltaproteobacteria	Sorangium
arsD	arsD_0016	Gammaproteobacteria	Gammaproteobacteria	Methylomonas
arsD	arsD_0019	Planctomycetes	Planctomycetia	Rhodopirellula
arsD	arsD_0018	Gammaproteobacteria	Gammaproteobacteria	Pseudomonas
arsD	arsD_0021	Betaproteobacteria	Betaproteobacteria	Azoarcus
arsD	arsD_0020	Deltaproteobacteria	Deltaproteobacteria	Sorangium
arsD	arsD_0023	Planctomycetes	Planctomycetia	Planctomyces
arsD	arsD_0022	Planctomycetes	Planctomycetia	Planctomyces
arsD	arsD_0025	Betaproteobacteria	Betaproteobacteria	Propionivibrio
arsD	arsD_0024	Gammaproteobacteria	Gammaproteobacteria	Methylomonas
arsD	arsD_0027	Alphaproteobacteria	Alphaproteobacteria	Methylosinus
arsD	arsD_0026	Gammaproteobacteria	Gammaproteobacteria	Alkalilimnicola
arsD	arsD_0029	Deltaproteobacteria	Deltaproteobacteria	Sorangium
arsD	arsD_0028	Firmicutes	Bacilli	Bacillus
arsD	arsD_0031	Deltaproteobacteria	Deltaproteobacteria	Sorangium
arsD	arsD_0030	Planctomycetes	Planctomycetia	Rhodopirellula
arsD	arsD_0034	Betaproteobacteria	Betaproteobacteria	Dechloromonas
arsD	arsD_0035	Planctomycetes	Planctomycetia	Planctomyces
arsD	arsD_0032	Deltaproteobacteria	Deltaproteobacteria	Sorangium
arsD	arsD_0033	Planctomycetes	Planctomycetia	Planctomyces
