"Site" "As_ppm" "Temp" "Classification" "organism" "Abundance" "Fraction.Abundance" "GE" "rplB" "Normalized.Abundance.census" "Normalized.Abundance.rplB" "Gene" "Type"
"Cen01" 2.63 14.1 "Recovered" "Bacillus sp. FJAT-27231" 7.174 0.3724 3469.8686759 1144.758 0.0020675134047081 0.00626682670049041 "arsC_thio" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Enterococcus faecium UC7256" 1.088 0.0565 3469.8686759 1144.758 0.000313556535311181 0.000950419215240252 "arsC_thio" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Geobacillus sp. JS12" 7.979 0.4141 3469.8686759 1144.758 0.00229951065739698 0.00697003209411945 "arsC_thio" "AsRG"
"Cen01" 2.63 14.1 "Recovered" "Geobacillus sp. Y4.1MC1" 3.025 0.157 3469.8686759 1144.758 0.000871790918489268 0.00264247989531412 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Acidihalobacter prosperus" 1.149 0.0851 4316.23308354 1348.369 0.000266204344798182 0.000852140623227025 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Alicyclobacillus tengchongensis" 1.992 0.1475 4316.23308354 1348.369 0.000461513537717996 0.00147734040162596 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Geobacillus sp. JS12" 1.388 0.1028 4316.23308354 1348.369 0.000321576701984226 0.00102939180595223 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Gracilibacillus boraciitolerans JCM 21714" 1.583 0.1172 4316.23308354 1348.369 0.00036675498504397 0.00117401097177405 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Alicyclobacillus ferrooxydans" 1.098 0.0813 4316.23308354 1348.369 0.000254388486151787 0.000814317149089011 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Geobacillus sp. Y4.1MC1" 5.104 0.378 4316.23308354 1348.369 0.00118251259865093 0.00378531396079263 "arsC_thio" "AsRG"
"Cen03" 7.1 14.7 "Recovered" "Bhargavaea cecembensis DSE10" 1.19 0.0881 4316.23308354 1348.369 0.000275703368415871 0.000882547729886997 "arsC_thio" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Caldalkalibacillus thermarum TA2.A1" 3.24 0.0939 4092.17106536 976.976 0.000791755757091002 0.00331635577537217 "arsC_thio" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Acidihalobacter prosperus" 3.14 0.091 4092.17106536 976.976 0.000767318851007947 0.00321399911563846 "arsC_thio" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446" 1.349 0.0391 4092.17106536 976.976 0.00032965386306042 0.00138079133980773 "arsC_thio" "AsRG"
"Cen04" 3.6 13.3 "Recovered" "Alicyclobacillus tengchongensis" 3.912 0.1133 4092.17106536 976.976 0.000955971765969136 0.00400419252878269 "arsC_thio" "AsRG"
