"db" "query" "genus" "class" "phylum" "Organism"
"ncbi" "uncultured soil bacterium" NA NA NA "uncultured soil bacterium"
"ncbi" "Gloeocapsa sp. PCC 7428" "Gloeocapsa" NA "Cyanobacteria" "Gloeocapsa sp. PCC 7428"
"ncbi" "Actinobacteria bacterium RBG_16_70_17" NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_70_17"
"ncbi" "Sphaerobacter thermophilus DSM 20745" "Sphaerobacter" "Thermomicrobia" "Chloroflexi" "Sphaerobacter thermophilus DSM 20745"
"ncbi" "Acidobacteriales bacterium 59-55" NA "Acidobacteriia" "Acidobacteria" "Acidobacteriales bacterium 59-55"
"ncbi" "Bacteroidetes bacterium 46-16" NA NA "Bacteroidetes" "Bacteroidetes bacterium 46-16"
"ncbi" "Mycobacterium kansasii" "Mycobacterium" "Actinobacteria" "Actinobacteria" "Mycobacterium kansasii"
"ncbi" "Streptomyces cattleya NRRL 8057 = DSM 46488" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces cattleya NRRL 8057 = DSM 46488"
"ncbi" "Geobacter sp. M21" "Geobacter" "Deltaproteobacteria" "Proteobacteria" "Geobacter sp. M21"
"ncbi" "Rhodospirillales bacterium 69-11" NA "Alphaproteobacteria" "Proteobacteria" "Rhodospirillales bacterium 69-11"
"ncbi" "Nitrospirae bacterium 13_1_40CM_4_62_6" NA NA "Nitrospirae" "Nitrospirae bacterium 13_1_40CM_4_62_6"
"ncbi" "Micromonospora carbonacea" "Micromonospora" "Actinobacteria" "Actinobacteria" "Micromonospora carbonacea"
"ncbi" "Micromonospora carbonacea" "Micromonospora" "Actinobacteria" "Actinobacteria" "Micromonospora carbonacea"
"ncbi" "Candidatus Koribacter versatilis Ellin345" "Candidatus Koribacter" "Acidobacteriia" "Acidobacteria" "Candidatus Koribacter versatilis Ellin345"
"ncbi" "Leptolyngbya valderiana BDU 20041" "Leptolyngbya" NA "Cyanobacteria" "Leptolyngbya valderiana BDU 20041"
"ncbi" "Thermoanaerobaculum aquaticum" "Thermoanaerobaculum" NA "Acidobacteria" "Thermoanaerobaculum aquaticum"
"ncbi" "Verrucomicrobia bacterium SCN 57-15" NA NA "Verrucomicrobia" "Verrucomicrobia bacterium SCN 57-15"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 13_1_20CM_4_65_11"
"ncbi" "Sclerotinia sclerotiorum 1980 UF-70" "Sclerotinia" "Leotiomycetes" "Ascomycota" "Sclerotinia sclerotiorum 1980 UF-70"
"ncbi" "Anaeromyxobacter sp. PSR-1" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter sp. PSR-1"
"ncbi" "Planctomycetes bacterium GWF2_50_10" NA NA "Planctomycetes" "Planctomycetes bacterium GWF2_50_10"
"ncbi" "Bacillus sp. LK2" "Bacillus" "Bacilli" "Firmicutes" "Bacillus sp. LK2"
"ncbi" "Rhodothermaceae bacterium RA" NA NA "Bacteroidetes" "Rhodothermaceae bacterium RA"
"ncbi" "Acidobacterium capsulatum ATCC 51196" "Acidobacterium" "Acidobacteriia" "Acidobacteria" "Acidobacterium capsulatum ATCC 51196"
"ncbi" "Anaerolinea thermophila UNI-1" "Anaerolinea" "Anaerolineae" "Chloroflexi" "Anaerolinea thermophila UNI-1"
"ncbi" "Anaeromyxobacter dehalogenans 2CP-1" "Anaeromyxobacter" "Deltaproteobacteria" "Proteobacteria" "Anaeromyxobacter dehalogenans 2CP-1"
"ncbi" "Levilinea saccharolytica" "Levilinea" "Anaerolineae" "Chloroflexi" "Levilinea saccharolytica"
"ncbi" "Anaerolineae bacterium CG2_30_64_16" NA "Anaerolineae" "Chloroflexi" "Anaerolineae bacterium CG2_30_64_16"
"ncbi" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49" NA "Deltaproteobacteria" "Proteobacteria" "Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49"
"ncbi" "Terriglobus roseus DSM 18391" "Terriglobus" "Acidobacteriia" "Acidobacteria" "Terriglobus roseus DSM 18391"
"ncbi" "Thielavia terrestris NRRL 8126" "Thielavia" "Sordariomycetes" "Ascomycota" "Thielavia terrestris NRRL 8126"
"ncbi" "Alphaproteobacteria bacterium 62-8" NA "Alphaproteobacteria" "Proteobacteria" "Alphaproteobacteria bacterium 62-8"
"ncbi" "Terriglobus saanensis SP1PR4" "Terriglobus" "Acidobacteriia" "Acidobacteria" "Terriglobus saanensis SP1PR4"
"ncbi" "Verrucomicrobia bacterium 61-8" NA NA "Verrucomicrobia" "Verrucomicrobia bacterium 61-8"
"ncbi" "Rhodomicrobium udaipurense JA643" "Rhodomicrobium" "Alphaproteobacteria" "Proteobacteria" "Rhodomicrobium udaipurense JA643"
"ncbi" "Actinobacteria bacterium RBG_16_68_12" NA NA "Actinobacteria" "Actinobacteria bacterium RBG_16_68_12"
"ncbi" "Roseomonas cervicalis ATCC 49957" "Roseomonas" "Alphaproteobacteria" "Proteobacteria" "Roseomonas cervicalis ATCC 49957"
"ncbi" "Bradyrhizobium sp. LMTR 3" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. LMTR 3"
"ncbi" "Mesorhizobium muleiense" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria" "Mesorhizobium muleiense"
"ncbi" "Chelatococcus sambhunathii" "Chelatococcus" "Alphaproteobacteria" "Proteobacteria" "Chelatococcus sambhunathii"
"ncbi" "Bradyrhizobium sp. BR 10245" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. BR 10245"
"ncbi" "Bradyrhizobium sp. NAS96.2" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria" "Bradyrhizobium sp. NAS96.2"
"ncbi" "Chloroflexus sp. isl-2" "Chloroflexus" "Chloroflexia" "Chloroflexi" "Chloroflexus sp. isl-2"
"ncbi" "Streptomyces thermoautotrophicus" "Streptomyces" "Actinobacteria" "Actinobacteria" "Streptomyces thermoautotrophicus"
"ncbi" "Ectothiorhodospira sp. PHS-1" "Ectothiorhodospira" "Gammaproteobacteria" "Proteobacteria" "Ectothiorhodospira sp. PHS-1"
"ncbi" "Pirellula staleyi DSM 6068" "Pirellula" "Planctomycetia" "Planctomycetes" "Pirellula staleyi DSM 6068"
"ncbi" "Chlorobium ferrooxidans DSM 13031" "Chlorobium" "Chlorobia" "Chlorobi" "Chlorobium ferrooxidans DSM 13031"
"ncbi" "Chloroherpeton thalassium ATCC 35110" "Chloroherpeton" "Chlorobia" "Chlorobi" "Chloroherpeton thalassium ATCC 35110"
"ncbi" "Chloroflexus aggregans DSM 9485" "Chloroflexus" "Chloroflexia" "Chloroflexi" "Chloroflexus aggregans DSM 9485"
"ncbi" "Chloroflexi bacterium OLB13" NA NA "Chloroflexi" "Chloroflexi bacterium OLB13"
"ncbi" "Nitrospira bacterium SG8_3" NA "Nitrospira" "Nitrospirae" "Nitrospira bacterium SG8_3"
"ncbi" "Agrobacterium albertimagni AOL15" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria" "Agrobacterium albertimagni AOL15"
"ncbi" "Caldilinea aerophila DSM 14535 = NBRC 104270" "Caldilinea" "Caldilineae" "Chloroflexi" "Caldilinea aerophila DSM 14535 = NBRC 104270"
"ncbi" "Pelomonas sp. Root1217" "Pelomonas" "Betaproteobacteria" "Proteobacteria" "Pelomonas sp. Root1217"
"ncbi" "Paenibacillus sp. MSt1" "Paenibacillus" "Bacilli" "Firmicutes" "Paenibacillus sp. MSt1"
"ncbi" "Magnetospirillum marisnigri" "Magnetospirillum" "Alphaproteobacteria" "Proteobacteria" "Magnetospirillum marisnigri"
"ncbi" "Chloroflexus aurantiacus J-10-fl" "Chloroflexus" "Chloroflexia" "Chloroflexi" "Chloroflexus aurantiacus J-10-fl"
"ncbi" "Dehalogenimonas lykanthroporepellens BL-DC-9" "Dehalogenimonas" "Dehalococcoidia" "Chloroflexi" "Dehalogenimonas lykanthroporepellens BL-DC-9"
"ncbi" "Dehalogenimonas alkenigignens" "Dehalogenimonas" "Dehalococcoidia" "Chloroflexi" "Dehalogenimonas alkenigignens"
