Gene Number Group Shape
1 acr3 015 ArsenicResistance circle
2 acr3 016 ArsenicResistance circle
3 acr3 019 ArsenicResistance circle
4 acr3 027 ArsenicResistance circle
5 acr3 083 ArsenicResistance circle
6 acr3 100 ArsenicResistance circle
7 acr3 105 ArsenicResistance circle
8 acr3 116 ArsenicResistance circle
9 acr3 119 ArsenicResistance circle
10 acr3 130 ArsenicResistance circle
11 acr3 148 ArsenicResistance circle
12 acr3 163 ArsenicResistance circle
13 acr3 222 ArsenicResistance circle
14 arsA 008 ArsenicResistance circle
15 arsA 021 ArsenicResistance circle
16 arsA 023 ArsenicResistance circle
17 arsA 038 ArsenicResistance circle
18 arsCglut 002 ArsenicResistance circle
19 arsCglut 011 ArsenicResistance circle
20 arsCglut 020 ArsenicResistance circle
21 arsCglut 025 ArsenicResistance circle
22 arsCglut 047 ArsenicResistance circle
23 arsCglut 090 ArsenicResistance circle
24 arsCglut 155 ArsenicResistance circle
25 arsCthio 84 ArsenicResistance circle
26 arsM 0006 ArsenicResistance circle
27 arsM 0028 ArsenicResistance circle
28 arsM 0046 ArsenicResistance circle
29 arsM 0065 ArsenicResistance circle
30 arsM 0085 ArsenicResistance circle
31 arsM 0135 ArsenicResistance circle
32 arsM 0142 ArsenicResistance circle
33 arsM 0146 ArsenicResistance circle
34 arsM 0148 ArsenicResistance circle
35 arsM 0203 ArsenicResistance circle
36 arsM 0216 ArsenicResistance circle
37 arsM 0234 ArsenicResistance circle
38 arsM 0235 ArsenicResistance circle
39 arsM 0318 ArsenicResistance circle
40 arsM 0396 ArsenicResistance circle
41 dfra12 002 AntibioticResistance circle
42 dfra12 024 AntibioticResistance circle
43 dfra12 035 AntibioticResistance circle
44 dfra12 388 AntibioticResistance circle
45 intI 036 AntibioticResistance circle
46 rplB 0019 NA circle
47 rplB 0058 NA circle
48 rplB 0197 NA circle
49 rplB 0229 NA circle
50 rplB 0263 NA circle
51 rplB 0272 NA circle
52 rplB 0299 NA circle
53 rplB 0311 NA circle
54 rplB 0381 NA circle
55 rplB 0467 NA circle
56 rplB 0511 NA circle
57 rplB 0558 NA circle
58 rplB 0725 NA circle
59 rplB 0736 NA circle
60 rplB 0751 NA circle
61 rplB 0762 NA circle
62 rplB 0827 NA circle
63 rplB 0936 NA circle
64 rplB 0955 NA circle
65 rplB 0996 NA circle
66 rplB 1032 NA circle
67 rplB 1059 NA circle
68 rplB 1062 NA circle
69 rplB 1070 NA circle
70 rplB 1073 NA circle
71 rplB 1167 NA circle
72 rplB 1206 NA circle
73 rplB 1221 NA circle
74 rplB 1287 NA circle
75 rplB 1488 NA circle
76 rplB 1750 NA circle
77 rplB 1818 NA circle
78 rplB 1830 NA circle
79 rplB 2020 NA circle
80 rplB 2051 NA circle
81 rplB 2192 NA circle
82 rplB 2398 NA circle
83 rplB 2411 NA circle
84 rplB 2588 NA circle
85 tolC 07 AntibioticResistance circle
86 vanX 03 AntibioticResistance circle
87 As ppm NA circle
88 SoilTemperature to10cm NA circle
89 DateSince Fire NA circle
90 OrganicMatter 500 NA circle
91 NO3N ppm NA circle
92 NH4N ppm NA circle
93 pH NA NA circle
94 SulfateSulfur ppm NA circle
95 K ppm NA circle
96 Ca ppm NA circle
97 Mg ppm NA circle
98 Fe ppm NA circle
