LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,OTU_0001 
2,AF078527.gene.p01 
3,NC_010410.6003586.p01 
4,AF294653.1.gene4.p01 
5,AF156486.gene.p01 
6,gi|152973773|ref|YP_001338812.1| 
7,gi|521232603|ref|YP_008167116.1| 
8,gi|60115566|ref|YP_209357.1| 
9,gi|186920244|gb|ACC95408.1| 
10,gi|219935411|emb|CAI43343.1| 
11,gi|56542061|emb|CAI29522.1| 
12,gi|4539650|gb|AAD22144.1|AF034958_3 
13,gi|116553|sp|P12056.1|CML_ECOLX 
14,gi|487652940|ref|WP_001747811.1| 
15,gi|4063853|gb|AAC98494.1| 
16,gi|109649426|gb|ABG36701.1| 
17,gi|160431706|ref|YP_001552094.1| 
18,gi|25815149|emb|CAD57670.1| 
19,gi|134047163|ref|YP_001101919.1| 
20,gi|209809841|ref|YP_002286768.1| 
21,gi|111548600|emb|CAL30184.1| 
22,gi|148274169|ref|YP_001220605.1| 
23,gi|410592818|ref|YP_006952740.1| 
24,gi|17017479|gb|AAK64587.1| 
25,gi|42416982|gb|AAS16362.1| 
26,gi|237809948|ref|YP_002894387.1| 
27,gi|89142217|ref|YP_512240.1| 
28,gi|63219717|ref|YP_232872.1| 
29,gi|42416984|gb|AAS16363.1| 
30,gi|380309842|ref|YP_005351917.1| 
31,gi|487467289|ref|WP_001694495.1| 
32,gi|169797578|ref|YP_001715371.1| 
33,gi|484868100|ref|YP_007878375.1| 
34,gi|76058010|emb|CAJ31068.1| 
35,gi|124001386|emb|CAL64024.1| 
36,gi|490069308|ref|WP_003971483.1| 
37,gi|21225923|ref|NP_631702.1| 
38,gi|498887|gb|AAB36568.1| 
39,gi|581504|emb|CAA78046.1| 
40,gi|2460005|gb|AAC45805.1| 
41,gi|30387222|ref|NP_848198.1| 
42,gi|32479383|ref|NP_862236.1| 
43,gi|10956585|ref|NP_044444.1| 
44,gi|77798|pir||JQ1201 
45,ROOT_YP_003613984.1 
46,WP_091877439.1 
