LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,OTU_0001 
2,OTU_0002 
3,OTU_0003 
4,OTU_0004 
5,OTU_0005 
6,OTU_0006 
7,OTU_0007 
8,OTU_0008 
9,OTU_0009 
10,OTU_0010 
11,OTU_0011 
12,OTU_0012 
13,OTU_0013 
14,OTU_0014 
15,OTU_0015 
16,OTU_0017 
17,OTU_0016 
18,OTU_0019 
19,OTU_0018 
20,OTU_0021 
21,OTU_0020 
22,OTU_0023 
23,OTU_0022 
24,OTU_0025 
25,OTU_0024 
26,OTU_0027 
27,OTU_0026 
28,NC_010410.6000985.p01 
29,Y16410.1.gene2.p01 
30,AY513266.1.gene1.p01 
31,EF125013.1.gene1.p01 
32,EF417572.2.gene1.p01 
33,EF561644.1.gene1.p01 
34,FJ360626.1.gene1.p01 
35,JN848330.1.gene1.p01 
36,FJ666065.1.gene1.p1 
37,NC_009085.4920334.p01 
38,NC_010611.6236820.p01 
39,NC_011586.7043949.p01 
40,NC_011586.7046923.p01 
41,NC_002695.1.914045.p01 
42,AB107899.1.gene2.p01 
43,AB587082.1.gene1.p01 
44,AF167990.3.gene1.p01 
45,AB061794.1.gene7.p01 
46,AJ133121.1.gene1.p01 
47,AJ555823.2.gene1.p01 
48,AJ555825.2.gene1.p01 
49,AM931008.1.gene1.p01 
50,D13304.2.gene1.p01 
51,EU515248.1.gene1.p01 
52,EU515250.1.gene1.p01 
53,EU515251.1.gene1.p01 
54,EU515249.1.gene1.p01 
55,FN546177.1.gene1.p01 
56,GQ152600.1.gene1.p01 
57,GQ152601.1.gene1.p01 
58,GQ152602.1.gene1.p01 
59,HQ336940.1.gene1.p01 
60,HQ693810.1.gene2.p01 
61,HQ456945.1.gene1.p01 
62,DQ489307.1.gene2.p01 
63,AF180958.1.gene1.p01 
64,AF180952.1.gene3.p01 
65,U58495.2.gene1.p2 
66,AM076977.1.gene1.p01 
67,FJ237369.1.gene1.p1 
68,AB008454.1.gene1.p01 
69,HQ322612.1.gene1.p01 
70,JF273491.1.gene2.p01 
71,AB280919.1.gene1.p01 
72,AB194410.1.gene1.p01 
73,AB300358.1.gene1.p01 
74,AB429270.1.gene1.p01 
75,AB372224.1.gene1.p01 
76,AF357599.1.gene1.p01 
77,AF357597.1.gene1.p01 
78,AJ781421.1.gene1.p01 
79,AY743434.1.gene1.p01 
80,DQ256079.1.gene1.p01 
81,DQ463751.1.gene1.p01 
82,EF394370.1.gene1.p01 
83,EF394371.1.gene1.p01 
84,EF622224.1.gene1.p01 
85,FN556186.1.gene1.p01 
86,GQ351345.1.gene1.p01 
87,HQ322613.1.gene1.p01 
88,HQ285243.1.gene1.p01 
89,HQ832678.1.gene1.p01 
90,JF460795.1.gene1.p01 
91,JF460794.1.gene1.p01 
92,JF460796.1.gene1.p01 
93,X91840.gene.p01 
94,HM565917.1.gene1.p01 
95,Y10282.gene.p01 
96,AJ276453.1.gene4.p01 
97,FJ262599.1.gene1.p1 
98,X78117.1.gene1.p01 
99,AY227752.1.gene1.p01 
100, AY743435.1.gene1.p01 
101, FJ237367.1.gene1.p1 
102, M37839.2.gene1.p01 
103, CP000034.1.gene4394.p01 
104, gi|606839|gb|AAA83416.1| 
105, gi|14517953|gb|AAK64454.1|AF384203_1 
106, gi|20136434|gb|AAM11664.1|AF492445_2 
107, gi|493180650|ref|WP_006178946.1| 
108, gi|20136440|gb|AAM11668.1|AF492447_2 
109, gi|20136443|gb|AAM11670.1|AF492448_2 
110, gi|20136445|gb|AAM11671.1|AF492449_1 
111, gi|21311545|gb|AAM46773.1|AF462690_1 
112, gi|22213623|gb|AAM93471.1| 
113, gi|23307624|gb|AAN17791.1|AF440406_2 
114, gi|27542974|gb|AAO16528.1| 
115, gi|30962005|gb|AAP40275.1| 
116, gi|226941941|ref|YP_002797015.1| 
117, gi|77377958|gb|ABA70720.1| 
118, gi|134039047|gb|ABO48510.1| 
119, gi|145298208|ref|YP_001141049.1| 
120, gi|46559328|dbj|BAD16740.1| 
121, gi|6225050|sp|Q48743.1|AMPC_LYSLA 
122, gi|1072327|emb|CAA56561.1| 
123, gi|6225053|sp|O05465.1|AMPC_PSYIM 
124, gi|6225052|sp|O69773.1|AMPC_PROST 
125, gi|490852722|ref|WP_004714775.1| 
126, gi|9909831|emb|CAC04522.1| 
127, gi|17432186|emb|CAC85157.1| 
128, gi|18376597|emb|CAC85357.1| 
129, gi|18376599|emb|CAC85358.1| 
130, gi|18376595|emb|CAC85359.1| 
131, gi|40809678|emb|CAD32304.2| 
132, gi|50086547|ref|YP_048057.1| 
133, gi|488390585|ref|WP_002459970.1| 
134, gi|16131975|ref|NP_418574.1| 
135, gi|34496765|ref|NP_900980.1| 
136, gi|113727|sp|P05364.1|AMPC_ENTCL 
137, gi|123442676|ref|YP_001006653.1| 
138, gi|74314640|ref|YP_313059.1| 
139, gi|77459945|ref|YP_349452.1| 
140, gi|77465753|ref|YP_355256.1| 
141, gi|82546604|ref|YP_410551.1| 
142, gi|110808074|ref|YP_691594.1| 
143, gi|117619171|ref|YP_857635.1| 
144, gi|118473855|ref|YP_888266.1| 
145, gi|491013275|ref|WP_004874984.1| 
146, ROOT_U92041.1.gene1.p01 
147, ROOT_U20270.1.gene1.p01 
148, AOY02225.1 
149, ASL48388.1 
150, SFM29787.1 
151, WP_020654670.1 
152, WP_028096112.1 
153, WP_028222241.1 
154, WP_037179038.1 
155, WP_043618831.1 
156, WP_044519301.1 
157, WP_054926161.1 
158, WP_059730936.1 
159, WP_074264528.1 
160, WP_074288386.1 
161, WP_074293770.1 
162, WP_077743532.1 
163, WP_082118328.1 
164, WP_083203448.1 
165, WP_085487389.1 
166, WP_091782597.1 
