DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000

#field labels
FIELD_LABELS,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen13,Cen03,Cen12

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.005, 0.01, 0.1, 0.15, 0.2, 0.25

#yellow #FFFF00
#green #008000
#red #FF0000
LEGEND_TITLE,Classification 
LEGEND_SHAPES,1,1,1
LEGEND_COLORS,#FF0000,#008000,#FFFF00
LEGEND_LABELS,Fire-affected,Recovered,Reference

DATA
OTU_0001,0.00116414435389988,0,0.00392541707556428,0,0,0.00297029702970297,0,0,0,0,0,0,0
OTU_0002,0,0.00343053173241852,0.00196270853778214,0,0,0,0,0,0.00191938579654511,0,0,0,0
OTU_0003,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0004,0,0,0,0,0,0,0,0,0.00959692898272553,0,0,0,0
OTU_0005,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0006,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0007,0,0,0,0,0,0,0.000265111346765642,0,0,0.00105764145954521,0,0,0
OTU_0008,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0,0
OTU_0009,0,0,0,0.000870322019147084,0,0,0,0,0.000959692898272553,0,0,0,0
OTU_0010,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0011,0.00349243306169965,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0
OTU_0012,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0013,0,0,0,0,0.00827498408656906,0,0.00238600212089077,0,0,0,0,0,0
OTU_0014,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0015,0,0,0,0,0.00063653723742839,0,0,0,0,0,0,0,0.00642496558054153
OTU_0016,0.00232828870779977,0,0,0,0,0.00099009900990099,0,0,0,0,0,0.000838222967309304,0
OTU_0017,0,0.00343053173241852,0,0,0,0,0,0,0,0,0,0,0
OTU_0018,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0019,0,0,0,0.000870322019147084,0,0,0,0,0,0.000528820729772607,0,0,0
OTU_0020,0,0,0.00098135426889107,0,0,0.00198019801980198,0,0,0,0,0,0.000838222967309304,0
OTU_0021,0.00116414435389988,0,0,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0022,0,0.00343053173241852,0,0,0,0,0,0,0,0,0,0,0
OTU_0023,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0024,0,0,0.00098135426889107,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0025,0,0,0,0.00261096605744125,0,0,0,0,0,0,0,0,0
OTU_0026,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0027,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0028,0,0,0.00686947988223749,0.000870322019147084,0,0,0,0,0.000959692898272553,0,0,0,0
OTU_0029,0,0,0,0,0,0.00099009900990099,0.000265111346765642,0,0,0,0,0,0
OTU_0030,0,0,0,0.000870322019147084,0,0,0.00238600212089077,0,0.000959692898272553,0,0,0,0
OTU_0031,0.00116414435389988,0,0.00098135426889107,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0032,0,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0033,0,0,0.00098135426889107,0.00609225413402959,0,0,0,0,0,0,0,0,0
OTU_0034,0,0,0,0.00348128807658834,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0035,0.00116414435389988,0,0,0,0.00063653723742839,0,0,0,0,0,0,0,0
OTU_0036,0,0,0,0,0.00127307447485678,0,0.000795334040296925,0,0,0,0,0,0
OTU_0037,0,0,0,0,0,0,0.0106044538706257,0,0,0,0,0,0
OTU_0038,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0
OTU_0039,0.00116414435389988,0.00171526586620926,0,0,0,0,0,0,0.000959692898272553,0,0,0,0
OTU_0040,0,0.00171526586620926,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0041,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0042,0,0,0,0,0,0,0,0.0415962123774095,0,0,0,0,0.00275355667737494
OTU_0043,0,0,0,0.00609225413402959,0.00127307447485678,0,0.0031813361611877,0,0,0,0,0.00251466890192791,0.00458926112895824
OTU_0044,0,0,0,0.148825065274151,0.014640356460853,0,0,0,0,0,0,0.0410729253981559,0.0321248279027077
OTU_0045,0,0,0.00098135426889107,0,0,0.00594059405940594,0,0,0,0,0,0,0
OTU_0046,0.00349243306169965,0,0,0,0,0,0,0,0.00479846449136276,0,0,0.000838222967309304,0
OTU_0047,0,0,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
OTU_0048,0,0,0,0,0.00381922342457034,0,0,0.000338180588434224,0,0.00105764145954521,0,0,0
OTU_0049,0,0,0,0.00174064403829417,0,0,0,0,0,0,0,0,0.00137677833868747
OTU_0050,0,0,0,0.00261096605744125,0,0.00099009900990099,0,0,0,0,0,0,0
OTU_0051,0,0,0,0,0,0,0,0.00338180588434224,0,0,0,0,0.00367140890316659
OTU_0052,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0053,0.00116414435389988,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0054,0,0,0,0.00174064403829417,0.00318268618714195,0,0.000530222693531283,0.00304362529590801,0,0,0,0,0.00917852225791648
OTU_0055,0,0,0.013738959764475,0,0,0,0,0,0,0,0,0,0
OTU_0056,0.00116414435389988,0,0,0,0,0,0,0,0.00383877159309021,0,0,0.000838222967309304,0
OTU_0057,0,0,0,0,0,0.00099009900990099,0.000530222693531283,0,0,0,0,0,0
OTU_0058,0,0,0,0,0,0.00099009900990099,0,0,0.00383877159309021,0,0,0,0
OTU_0059,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0060,0.00465657741559953,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0061,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0062,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0063,0,0,0,0,0.00063653723742839,0,0.000265111346765642,0,0,0,0,0,0
OTU_0064,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0065,0,0,0,0,0.00063653723742839,0,0,0,0,0.000528820729772607,0,0,0.000458926112895824
OTU_0066,0.00116414435389988,0,0.0098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0067,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0068,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0069,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0070,0,0.00171526586620926,0,0,0,0,0,0,0.00287907869481766,0,0,0.000838222967309304,0
OTU_0071,0.00232828870779977,0,0,0.00435161009573542,0.0108211330362826,0.00495049504950495,0.0151113467656416,0,0.00191938579654511,0.00475938656795346,0,0.00167644593461861,0.00413033501606241
OTU_0072,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0
OTU_0073,0,0,0,0,0.00063653723742839,0.00099009900990099,0,0,0,0,0,0,0
OTU_0074,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0.000838222967309304,0
OTU_0075,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0076,0.00116414435389988,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0077,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0078,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0079,0,0,0.00098135426889107,0,0,0.00099009900990099,0,0,0,0,0,0,0
OTU_0080,0,0,0.00196270853778214,0,0,0,0,0,0.000959692898272553,0,0,0,0
OTU_0081,0,0,0,0,0,0,0,0,0.00287907869481766,0,0,0,0
OTU_0082,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0083,0.00232828870779977,0,0,0,0,0,0,0,0.0143953934740883,0,0,0,0
OTU_0084,0,0,0,0,0,0,0,0,0,0,0.00445632798573975,0,0
OTU_0085,0,0,0,0,0,0,0.00212089077412513,0,0,0,0,0,0.00229463056447912
OTU_0086,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0087,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0
OTU_0088,0.00116414435389988,0,0,0.00174064403829417,0,0,0.000795334040296925,0,0,0,0,0,0
OTU_0089,0.00116414435389988,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0090,0,0,0,0,0.00063653723742839,0,0,0,0,0,0,0,0
OTU_0091,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0
OTU_0092,0,0,0,0,0.00063653723742839,0,0,0,0.000959692898272553,0,0,0,0
