LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,TU_0001 
2,TU_0002 
3,TU_0003 
4,TU_0004 
5,OTU_0005 
6,TU_0006 
7,TU_0007 
8,TU_0008 
9,OTU_0009 
10,OTU_0010 
11,OTU_0011 
12,OTU_0012 
13,OTU_0013 
14,OTU_0014 
15,OTU_0015 
16,OTU_0017 
17,OTU_0016 
18,OTU_0019 
19,OTU_0018 
20,OTU_0021 
21,OTU_0020 
22,OTU_0023 
23,OTU_0022 
24,OTU_0025 
25,OTU_0024 
26,OTU_0027 
27,OTU_0026 
28,OTU_0029 
29,OTU_0028 
30,OTU_0031 
31,OTU_0030 
32,OTU_0034 
33,OTU_0035 
34,OTU_0032 
35,OTU_0033 
36,OTU_0038 
37,OTU_0039 
38,OTU_0036 
39,OTU_0037 
40,OTU_0042 
41,OTU_0043 
42,OTU_0040 
43,OTU_0041 
44,OTU_0046 
45,OTU_0047 
46,OTU_0044 
47,OTU_0045 
48,OTU_0051 
49,OTU_0050 
50,OTU_0049 
51,OTU_0048 
52,OTU_0055 
53,OTU_0054 
54,OTU_0053 
55,OTU_0052 
56,OTU_0059 
57,OTU_0058 
58,OTU_0057 
59,OTU_0056 
60,OTU_0063 
61,OTU_0062 
62,OTU_0061 
63,OTU_0060 
64,OTU_0068 
65,OTU_0069 
66,OTU_0070 
67,OTU_0071 
68,OTU_0064 
69,OTU_0065 
70,OTU_0066 
71,OTU_0067 
72,OTU_0076 
73,OTU_0072 
74,OTU_0073 
75,OTU_0074 
76,OTU_0075 
77,ARSC_STAAU 
78,ARSC_BACSU 
79,ARSC_STAXY 
80,ARSC_STAA8 
81,ARSC1_STAS1 
82,ARSC1_STAHJ 
83,ARSC_BACHD 
84,ARSC2_STAHJ 
85,ARSC_BACSK 
86,ARSC_GEOTN 
87,ARSC_BACLD 
88,ARSC_MACCJ 
89,ARSC_OCEIH 
90,ARSC2_STAEQ 
91,ARSC2_STAS1 
92,ARSC_BACMD 
93,ARSC1_STAEQ 
94,ROOT_ARSC1_ECOLX 
95,ROOT_ARSC_SHIFL 
96,ROOT_Q9A861_CAUCR 
97,ACV57588.1 
98,AQQ70014.1 
99,BAU46984.1 
100, BAU53028.1 
101, BAV32665.1 
102, KJR96989.1 
103, KPK73416.1 
104, OGG04701.1 
105, OGI48905.1 
106, OGI66852.1 
107, OGR23397.1 
108, OGS12015.1 
109, OGS36825.1 
110, OGV41484.1 
111, OHB54299.1 
112, OHE81280.1 
113, OIO27781.1 
114, OYT21399.1 
115, SFV31436.1 
116, WP_005006635.1 
117, WP_006002119.1 
118, WP_009225278.1 
119, WP_013250205.1 
120, WP_015028195.1 
121, WP_015723982.1 
122, WP_015852185.1 
123, WP_015906293.1 
124, WP_020878702.1 
125, WP_022831824.1 
126, WP_025323185.1 
127, WP_027366732.1 
128, WP_028397993.1 
129, WP_029419919.1 
130, WP_033798780.1 
131, WP_042457293.1 
132, WP_045218628.1 
133, WP_045221430.1 
134, WP_054968850.1 
135, WP_058095823.1 
136, WP_063714599.1 
137, WP_066368508.1 
138, WP_067623257.1 
139, WP_067929635.1 
140, WP_068259190.1 
141, WP_072872981.1 
142, WP_072874548.1 
143, WP_077541149.1 
144, WP_078346178.1 
145, WP_084264172.1 
146, WP_090651477.1 
147, WP_090818991.1 
148, WP_091376160.1 
149, WP_094082804.1 
