,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen13,Cen03,Cen12
OTU_0001,0,0,0,0,0,0,0,0.0013527223537369,0,0,0.000445632798573975,0,0
OTU_0002,0.00349243306169965,0,0,0.00261096605744125,0,0,0.000530222693531283,0,0,0.00423056583818086,0,0.000838222967309304,0
OTU_0003,0,0,0,0,0,0.00099009900990099,0,0.00169090294217112,0,0,0,0,0.000458926112895824
OTU_0004,0.00349243306169965,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0005,0.00349243306169965,0,0,0,0,0.00297029702970297,0.00106044538706257,0,0,0,0,0,0
OTU_0006,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0,0
OTU_0007,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0008,0.00116414435389988,0,0,0,0,0.00198019801980198,0.000530222693531283,0,0,0,0,0,0
OTU_0009,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0010,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0011,0.00116414435389988,0,0,0.00174064403829417,0.00063653723742839,0,0,0,0,0,0,0,0
OTU_0012,0,0,0,0,0,0,0,0.00101454176530267,0,0,0,0,0
OTU_0013,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0014,0,0.00514579759862779,0,0,0,0.00198019801980198,0,0,0.000959692898272553,0,0,0,0
OTU_0015,0.00116414435389988,0,0,0,0,0,0,0,0,0.00158646218931782,0,0,0
OTU_0016,0,0,0,0,0.00063653723742839,0,0,0,0,0,0,0,0
OTU_0017,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0018,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0019,0.00116414435389988,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0020,0,0,0,0,0,0,0,0,0.00959692898272553,0,0,0,0
OTU_0021,0,0,0,0,0,0,0,0,0.00287907869481766,0,0,0,0
OTU_0022,0,0,0,0.00174064403829417,0,0,0,0,0,0,0,0,0
OTU_0023,0,0,0,0,0,0,0,0,0,0.00105764145954521,0,0,0
OTU_0024,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0025,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0026,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0027,0.00349243306169965,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0028,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0,0
OTU_0029,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0030,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0031,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0,0
OTU_0032,0,0,0,0,0,0,0,0,0,0.000528820729772607,0,0,0
OTU_0033,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0034,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0035,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0036,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0037,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0038,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0039,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0040,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0041,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0042,0,0,0,0,0,0,0.00106044538706257,0,0,0,0,0,0
OTU_0043,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0044,0,0,0,0,0,0,0.00106044538706257,0,0,0,0,0,0
OTU_0045,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0046,0,0.00343053173241852,0,0,0,0,0,0,0,0,0,0,0
OTU_0047,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0048,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0049,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0050,0,0,0,0,0,0,0,0,0.00287907869481766,0,0,0,0
OTU_0051,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0052,0,0,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
OTU_0053,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0054,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0055,0,0,0,0,0,0,0,0,0,0,0.000445632798573975,0,0
OTU_0056,0,0,0,0,0,0,0,0.000676361176868448,0,0,0,0,0
OTU_0057,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0058,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0059,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0060,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0061,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0062,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0063,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0064,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0065,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0066,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0067,0,0,0,0,0,0,0,0.00101454176530267,0,0,0,0,0
OTU_0068,0,0,0,0,0,0,0,0,0,0,0.000445632798573975,0,0
OTU_0069,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0070,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0071,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0072,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0073,0,0,0,0,0,0,0,0,0,0,0.00846702317290553,0,0
OTU_0074,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0075,0,0,0,0,0,0,0.0111346765641569,0,0,0,0,0,0
OTU_0076,0,0,0,0,0,0,0,0,0,0,0,0,0.000458926112895824
