DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FFFF00,#FF0000

#field labels
FIELD_LABELS,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen03,Cen12

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00, 0.001, 0.01, 0.025

#yellow #FFFF00
#green #008000
#red #FF0000
LEGEND_TITLE,Sample
LEGEND_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FFFF00,#FF0000
LEGEND_LABELS,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen03,Cen12

DATA
OTU_0001,0,0,0.00098135426889107,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0002,0.00349243306169965,0,0.00196270853778214,0,0,0,0,0,0,0,0,0
OTU_0003,0.00349243306169965,0,0,0,0,0,0,0,0,0,0,0
OTU_0004,0.00116414435389988,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0005,0,0,0.00098135426889107,0.000870322019147084,0,0,0,0,0.000959692898272553,0,0,0
OTU_0006,0.00232828870779977,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0007,0.00232828870779977,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0008,0.00349243306169965,0,0,0,0,0,0,0,0,0,0,0
OTU_0009,0,0,0,0.00174064403829417,0.0197326543602801,0,0,0,0,0,0,0.00367140890316659
OTU_0010,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0011,0,0,0,0,0.00763844684914067,0,0,0,0,0.00105764145954521,0,0.0128499311610831
OTU_0012,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0013,0.00116414435389988,0,0.00098135426889107,0.00609225413402959,0,0,0,0,0,0,0,0
OTU_0014,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0015,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0016,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0
OTU_0017,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0018,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0019,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0020,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0
OTU_0021,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0
OTU_0022,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0
OTU_0023,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0
OTU_0024,0,0,0,0,0,0,0,0,0,0,0,0.000917852225791648
OTU_0025,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0026,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0
OTU_0027,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0
OTU_0028,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0029,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0030,0,0,0,0,0,0,0.00927889713679745,0,0,0,0,0
OTU_0031,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0
OTU_0032,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0
OTU_0033,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0
OTU_0034,0,0,0,0,0,0,0,0,0,0,0,0.000458926112895824
OTU_0035,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0036,0,0,0,0,0,0,0,0,0,0,0,0.000458926112895824
OTU_0037,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0038,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0
OTU_0039,0,0,0,0,0,0.0207920792079208,0,0,0,0,0,0
OTU_0040,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0
OTU_0041,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0
OTU_0042,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0
