,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen14,Cen13,Cen03,Cen12
OTU_0001,0.00582072176949942,0,0,0.000870322019147084,0,0,0,0,0,0,0,0
OTU_0002,0,0,0,0,0,0.00396039603960396,0.000530222693531283,0,0,0,0.000838222967309304,0
OTU_0003,0,0,0,0,0.00063653723742839,0,0.000265111346765642,0,0,0,0,0.0018357044515833
OTU_0004,0,0,0.00098135426889107,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0005,0,0.00514579759862779,0,0,0.00063653723742839,0,0,0,0,0,0,0
OTU_0006,0,0,0,0.00435161009573542,0.00063653723742839,0,0,0,0,0,0.000838222967309304,0
OTU_0007,0,0,0,0,0,0.00693069306930693,0,0,0,0,0.00167644593461861,0
OTU_0008,0,0,0,0.000870322019147084,0,0,0,0,0,0,0.00167644593461861,0
OTU_0009,0,0,0,0,0,0,0,0,0,0.00846702317290553,0,0
OTU_0010,0,0,0,0,0,0.00198019801980198,0.000265111346765642,0,0,0,0,0
OTU_0011,0,0,0,0,0,0,0,0,0,0.00846702317290553,0,0
OTU_0012,0,0,0,0,0,0.00297029702970297,0.000795334040296925,0,0,0,0.00251466890192791,0.000458926112895824
OTU_0013,0,0,0.0117762512266928,0,0,0,0,0,0,0,0,0
OTU_0014,0,0,0,0,0.00063653723742839,0,0.000530222693531283,0,0,0,0,0
OTU_0015,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0016,0,0,0.00588812561334642,0,0,0,0,0,0,0,0,0
OTU_0017,0.0128055878928987,0.00171526586620926,0,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0018,0,0,0,0,0,0.00099009900990099,0,0,0,0,0.000838222967309304,0
OTU_0019,0,0,0.00294406280667321,0,0,0.00099009900990099,0.000795334040296925,0.000338180588434224,0,0,0,0
OTU_0020,0,0,0,0.000870322019147084,0,0,0,0,0,0,0.00251466890192791,0
OTU_0021,0.00465657741559953,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0022,0,0,0.00098135426889107,0.00261096605744125,0,0,0,0,0,0,0,0
OTU_0023,0,0,0,0.00174064403829417,0,0,0,0,0,0,0.00167644593461861,0.000917852225791648
OTU_0024,0,0,0.00490677134445535,0,0,0.00099009900990099,0,0,0,0,0.00167644593461861,0
OTU_0025,0,0,0.00098135426889107,0,0,0.00099009900990099,0,0,0,0,0.000838222967309304,0
OTU_0026,0,0.00514579759862779,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0027,0,0,0,0,0,0,0,0.000676361176868448,0,0,0,0
OTU_0028,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0
OTU_0029,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0
OTU_0030,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0031,0,0,0,0,0,0,0.00291622481442206,0,0,0,0,0
OTU_0032,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0
OTU_0033,0.00349243306169965,0,0,0,0,0,0,0,0.000528820729772607,0,0,0
OTU_0034,0,0,0,0,0,0,0.00132555673382821,0,0,0,0.000838222967309304,0
OTU_0035,0,0.00514579759862779,0,0,0,0,0,0,0,0,0,0
OTU_0036,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0037,0,0,0.00392541707556428,0,0,0,0,0,0,0,0,0
OTU_0038,0.00349243306169965,0,0.00196270853778214,0.000870322019147084,0,0.00198019801980198,0.000265111346765642,0,0,0,0.00167644593461861,0
OTU_0039,0,0,0.00785083415112856,0,0,0,0,0,0,0,0,0
OTU_0040,0,0,0.00490677134445535,0.000870322019147084,0,0,0,0,0,0,0,0
OTU_0041,0,0,0,0.000870322019147084,0.00063653723742839,0.00297029702970297,0.00662778366914104,0,0,0,0,0
OTU_0042,0,0,0,0,0.00509229789942712,0,0.00477200424178155,0,0,0,0,0
OTU_0043,0.00116414435389988,0,0,0.000870322019147084,0,0,0,0,0,0,0,0
OTU_0044,0,0,0.00098135426889107,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0045,0,0,0.00490677134445535,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0046,0.0069848661233993,0,0.00098135426889107,0,0,0.00099009900990099,0,0,0,0,0.000838222967309304,0
OTU_0047,0,0.00171526586620926,0,0,0,0,0,0,0.00105764145954521,0,0,0
OTU_0048,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0
OTU_0049,0,0,0,0,0,0,0,0,0.000528820729772607,0,0,0
OTU_0050,0,0.00514579759862779,0,0.000870322019147084,0,0.00099009900990099,0,0,0,0,0.00419111483654652,0
OTU_0051,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0
OTU_0052,0,0,0,0,0,0,0.000265111346765642,0,0,0,0.000838222967309304,0
OTU_0053,0.00116414435389988,0,0.00196270853778214,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0054,0.00116414435389988,0.00686106346483705,0,0,0,0,0,0,0,0,0,0
OTU_0055,0,0,0,0,0,0,0.00106044538706257,0,0,0,0,0
OTU_0056,0,0,0.00686947988223749,0,0,0,0,0,0,0,0,0
OTU_0057,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0058,0.0430733410942957,0,0.00490677134445535,0,0,0.00297029702970297,0,0,0,0,0.00838222967309304,0
OTU_0059,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0
OTU_0060,0.00465657741559953,0,0,0.0147954743255004,0,0.00495049504950495,0,0,0,0,0,0
OTU_0061,0,0.00686106346483705,0,0,0,0,0,0,0,0,0,0
OTU_0062,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0.00642496558054153
