LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,TU_0001 
2,OTU_0002 
3,OTU_0003 
4,OTU_0004 
5,OTU_0005 
6,TU_0006 
7,TU_0007 
8,OTU_0008 
9,TU_0009 
10,OTU_0010 
11,EU523697.1.gene2.p01 
12,AY264780.2.gene3.p01 
13,AF534183.gene.p01 
14,X75761.gene.p01 
15,NC_009085.4918440.p01 
16,NC_010410.6003291.p01 
17,CP001485.1.gene2821.p01 
18,NC_011586.7045189.p01 
19,NC_011586.7043399.p01 
20,NC_011595.7059241.p01 
21,ROOT_YP_002239313.1 
22,ROOT_sp|B8FPI3|NHAA_DESHD 
23,AMP47937.1 
24,KRB52761.1 
25,OLC96042.1 
26,OYU70629.1 
27,WP_018749223.1 
28,WP_062547083.1 
29,WP_066516731.1 
30,WP_089687581.1 
31,XP_005973536.1 
