scaffold00001	OTU_0014	35.63	261	162	4	79054	79824	1	259	3e-17	80.5
scaffold00003	OTU_0006	37.75	249	149	4	7461	8201	1	245	5e-24	  101
scaffold00008	OTU_0006	36.57	216	127	5	8337	8969	1	211	3e-31	  122
scaffold00136	OTU_0006	37.16	218	129	5	81970	82608	1	215	7e-34	  128
scaffold00346	OTU_0006	42.17	249	132	6	28817	28098	2	247	2e-38	  140
scaffold00449	OTU_0014	39.20	250	141	4	19214	19933	2	250	2e-11	58.9
scaffold00463	OTU_0006	37.36	273	140	10	17671	18474	2	248	4e-38	  139
scaffold00638	OTU_0014	40.24	246	141	4	12117	11392	2	245	1e-16	74.3
scaffold00651	OTU_0006	36.51	252	147	6	28695	27961	2	247	5e-28	  109
scaffold00806	OTU_0006	37.16	218	131	4	17399	16755	2	216	7e-28	  108
scaffold00993	OTU_0006	48.15	81	41	1	28179	28421	2	81	3e-16	72.8
scaffold01040	OTU_0006	32.44	262	150	10	27484	26726	2	245	8e-25	99.8
scaffold01293	OTU_0006	35.02	217	131	5	19109	18468	2	211	4e-28	  109
scaffold01353	OTU_0012	45.05	91	47	2	23541	23275	137	226	1e-11	58.2
scaffold01564	OTU_0004	36.36	253	145	7	5201	5941	1	243	5e-35	  129
scaffold02026	OTU_0006	32.88	222	134	7	10590	9949	2	216	5e-16	71.6
scaffold02133	OTU_0009	38.50	213	122	6	9425	8799	1	208	3e-29	  111
scaffold02456	OTU_0011	31.62	253	155	6	16523	15783	1	241	3e-32	  121
scaffold03004	OTU_0006	35.41	257	156	6	1762	2523	2	251	4e-37	  135
scaffold03114	OTU_0006	33.95	215	135	3	6999	7637	2	211	3e-29	  112
