LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
BAD77819.1, BAD77819.1 (BAD77819.1)
NP_775043.1, NP_775043.1 (NP_775043.1)
AAT45231.1, AAT45231.1 (AAT45231.1)
ROOT_AAN28000.1_dfra1, ROOT_AAN28000.1_dfra1 (ROOT_AAN28000.1_dfra1)
AEI30192.1, uncultured_bacterium (AEI30192.1)
AEI30198.1, uncultured_bacterium (AEI30198.1)
AEI30205.1, uncultured_bacterium (AEI30205.1)
AHK17042.1, Thalassolituus_oleivorans_R6-15 (AHK17042.1)
AIA10614.1, uncultured_bacterium (AIA10614.1)
AIA10676.1, uncultured_bacterium (AIA10676.1)
AIA10824.1, uncultured_bacterium (AIA10824.1)
AIA11135.1, uncultured_bacterium (AIA11135.1)
AIA11214.1, uncultured_bacterium (AIA11214.1)
AIA11216.1, uncultured_bacterium (AIA11216.1)
AIA11811.1, uncultured_bacterium (AIA11811.1)
AIA11989.1, uncultured_bacterium (AIA11989.1)
AIA12458.1, uncultured_bacterium (AIA12458.1)
AIA12733.1, uncultured_bacterium (AIA12733.1)
AIA13159.1, uncultured_bacterium (AIA13159.1)
AIA13317.1, uncultured_bacterium (AIA13317.1)
AIA13345.1, uncultured_bacterium (AIA13345.1)
AIA14136.1, uncultured_bacterium (AIA14136.1)
AIA14286.1, uncultured_bacterium (AIA14286.1)
AIA14333.1, uncultured_bacterium (AIA14333.1)
AIA14776.1, uncultured_bacterium (AIA14776.1)
AIA14879.1, uncultured_bacterium (AIA14879.1)
AIA14953.1, uncultured_bacterium (AIA14953.1)
AIA15014.1, uncultured_bacterium (AIA15014.1)
AIA15140.1, uncultured_bacterium (AIA15140.1)
AIA15209.1, uncultured_bacterium (AIA15209.1)
AIA15222.1, uncultured_bacterium (AIA15222.1)
AIA15430.1, uncultured_bacterium (AIA15430.1)
AIA15622.1, uncultured_bacterium (AIA15622.1)
AIA15636.1, uncultured_bacterium (AIA15636.1)
AIA15685.1, uncultured_bacterium (AIA15685.1)
AIA15709.1, uncultured_bacterium (AIA15709.1)
AIA15797.1, uncultured_bacterium (AIA15797.1)
AIA15938.1, uncultured_bacterium (AIA15938.1)
AIA16002.1, uncultured_bacterium (AIA16002.1)
AIA16139.1, uncultured_bacterium (AIA16139.1)
AIA16192.1, uncultured_bacterium (AIA16192.1)
AIA16466.1, uncultured_bacterium (AIA16466.1)
AIA16498.1, uncultured_bacterium (AIA16498.1)
AIA16770.1, uncultured_bacterium (AIA16770.1)
AIA16801.1, uncultured_bacterium (AIA16801.1)
AIA16836.1, uncultured_bacterium (AIA16836.1)
AIA16920.1, uncultured_bacterium (AIA16920.1)
AIA17026.1, uncultured_bacterium (AIA17026.1)
AIA17028.1, uncultured_bacterium (AIA17028.1)
AIA17076.1, uncultured_bacterium (AIA17076.1)
AIA17129.1, uncultured_bacterium (AIA17129.1)
AIA17149.1, uncultured_bacterium (AIA17149.1)
AIA17179.1, uncultured_bacterium (AIA17179.1)
AIA17260.1, uncultured_bacterium (AIA17260.1)
AIA17525.1, uncultured_bacterium (AIA17525.1)
AIA17570.1, uncultured_bacterium (AIA17570.1)
