Func_id	Func_name	Cen01	Cen03	Cen04	Cen05	Cen06	Cen07	Cen10	Cen12	Cen14	Cen15	Cen16	Cen17
COG0001	Glutamate-1-semialdehyde aminotransferase	6784	9242	9965	8857	6337	7500	2259	1991	2952	2969	6529	8763
COG0002	N-acetyl-gamma-glutamylphosphate reductase	3162	4329	4455	4237	2993	3445	1384	1023	1561	1416	2986	4037
COG0003	"Anion-transporting ATPase, ArsA/GET3 family"	2124	2328	2625	2223	1536	1919	938	705	1272	1031	2207	2431
COG0004	Ammonia channel protein AmtB	4366	6612	6223	6133	4572	5351	1844	1543	2189	2330	4785	6697
COG0005	Purine nucleoside phosphorylase	2917	3741	3837	3686	2634	2948	1158	949	1391	1268	2709	3871
COG0006	Xaa-Pro aminopeptidase	9207	12658	13230	11818	8822	10364	3925	3137	4956	4377	10516	12001
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	2522	3256	3160	3181	2223	2561	1068	744	1086	1056	2441	3130
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	6073	8762	9067	8720	6269	7508	2335	2050	2943	2904	6584	8784
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	2519	3680	3659	3764	2655	3120	1102	881	1353	1231	2842	3483
COG0010	Arginase family enzyme	3718	4484	5030	4422	3169	3809	1377	1126	1629	1565	3664	5011
COG0011	"Uncharacterized conserved protein YqgV, UPF0045/DUF77 family"	172	210	211	171	141	171	124	57	115	105	226	186
COG0012	"Ribosome-binding ATPase YchF, GTP1/OBG family"	2892	3922	4322	3963	2674	3598	1182	954	1497	1402	3045	3898
COG0013	Alanyl-tRNA synthetase	6876	9237	10120	9518	6408	8243	2579	2176	3197	3128	6821	9019
COG0014	Gamma-glutamyl phosphate reductase	2125	3095	2910	2822	2096	2403	863	661	1029	1025	2247	2706
COG0015	Adenylosuccinate lyase	4347	5637	5928	5616	3878	4802	1808	1301	2025	1997	4202	5618
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	2367	3333	3466	3320	2307	2946	976	831	1215	1166	2619	3157
COG0017	Aspartyl/asparaginyl-tRNA synthetase	2352	2929	3169	2941	2072	2627	724	731	1024	1079	2093	2854
COG0018	Arginyl-tRNA synthetase	4698	6516	6896	6680	4485	5579	1909	1469	2223	2106	4827	6215
COG0019	Diaminopimelate decarboxylase	4746	6731	6787	6365	4703	5459	1935	1529	2213	2194	4800	6738
COG0020	Undecaprenyl pyrophosphate synthase	2437	3620	3537	3598	2435	3068	1103	811	1247	1175	2603	3005
COG0021	Transketolase	5667	8044	8443	8373	5641	6667	2212	1764	2433	2415	5217	7119
COG0022	"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component"	8126	10128	11093	9679	6949	8666	2741	2596	3568	3412	7737	9160
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	259	329	349	304	272	295	110	126	147	134	309	410
COG0024	Methionine aminopeptidase	2971	3869	3983	3712	2724	3339	1304	1029	1418	1430	3011	3500
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	2153	3194	2818	2507	2411	2497	1385	810	1245	1259	2604	3620
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	2078	2844	2599	2631	2200	2314	1098	745	1103	1109	2095	2609
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	397	525	530	473	399	480	140	96	153	174	428	548
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	19820	27386	27449	25784	19193	21972	8776	6737	9955	9484	21294	21592
COG0029	Aspartate oxidase	3547	4827	4944	4558	3257	3955	1455	1088	1744	1622	3562	5037
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	3825	5360	5565	5353	3484	4360	1515	1073	1825	1659	3966	5105
COG0031	Cysteine synthase	6389	8118	8549	8056	5886	6720	2315	2060	2951	2964	5933	8146
COG0033	Phosphoglucomutase	1659	2785	2660	2902	1942	2150	621	522	705	722	1361	2310
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	3299	4348	4568	4214	3023	3755	1316	1052	1617	1562	3243	4287
COG0035	Uracil phosphoribosyltransferase	1026	1324	1212	1013	914	1038	429	344	485	502	1044	1376
COG0036	Pentose-5-phosphate-3-epimerase	2155	3127	3106	3036	2115	2625	943	738	1139	1089	2363	2874
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	2404	3536	3530	3563	2551	3008	971	880	1231	1145	2744	3524
COG0038	H+/Cl- antiporter ClcA	3985	6116	5610	6435	4634	5191	2520	1711	2294	2231	4551	3031
COG0039	Malate/lactate dehydrogenase	2426	3412	3520	3236	2372	2816	999	842	1252	1213	2626	3661
COG0040	ATP phosphoribosyltransferase	1870	2477	2531	2389	1768	1975	798	644	954	922	1856	2311
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	1371	1857	1918	1882	1309	1603	624	505	711	715	1529	1876
COG0042	tRNA-dihydrouridine synthase	2553	3956	3815	3751	2916	3523	998	938	1255	1306	2987	3857
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	3979	6467	6375	5446	4194	5390	2123	1871	2680	2467	5767	6277
COG0044	Dihydroorotase or related cyclic amidohydrolase	8576	11282	11815	11015	7856	9249	3243	2543	3606	3562	7939	11603
COG0045	"Succinyl-CoA synthetase, beta subunit"	2780	3954	4018	3918	2865	3379	1270	1039	1522	1441	3138	3819
COG0046	"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain"	4505	6252	6486	6123	4435	5273	1874	1499	2300	2143	4485	6161
COG0047	"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"	1775	2502	2608	2445	1821	2116	775	662	941	879	1952	2531
COG0048	Ribosomal protein S12	736	1031	1062	1045	771	1053	446	370	512	454	1124	942
COG0049	Ribosomal protein S7	986	1388	1472	1425	975	1267	503	438	615	555	1357	1266
COG0050	"Translation elongation factor EF-Tu, a GTPase"	2394	3069	3190	3139	2325	2746	999	1019	1342	1235	3024	2692
COG0051	Ribosomal protein S10	771	941	1009	997	753	951	387	341	460	408	1094	833
COG0052	Ribosomal protein S2	1475	1956	2087	2015	1394	1846	666	597	800	810	1817	1826
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	3756	4539	5029	4369	3079	3676	1550	1078	1909	1649	3919	4980
COG0054	"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"	1323	1981	1983	1894	1301	1526	615	518	673	649	1547	1810
COG0055	"FoF1-type ATP synthase, beta subunit"	2949	4073	4360	4205	3077	3725	1233	1078	1634	1482	3451	3498
COG0056	"FoF1-type ATP synthase, alpha subunit"	3179	4472	4665	4499	3348	4116	1396	1137	1651	1553	3635	3851
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	2898	3536	4105	3647	2755	3588	1196	953	1437	1352	3142	3732
COG0058	Glucan phosphorylase	6341	10001	10076	9961	6716	7754	1844	2019	2946	2905	5762	8914
COG0059	Ketol-acid reductoisomerase	2040	2635	2755	2529	1848	2029	945	696	1037	949	2049	2586
COG0060	Isoleucyl-tRNA synthetase	6578	9349	10109	9385	6544	8461	2505	2093	3138	3135	6591	8911
COG0061	NAD kinase	2135	3133	3110	2948	2128	2495	955	700	1073	1021	2232	2894
COG0062	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain"	1893	2530	2647	2539	1744	2055	838	638	941	872	1916	2500
COG0063	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain"	2527	3578	3559	3600	2429	2891	1147	790	1362	1250	2702	3508
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	3503	4923	5178	4978	3484	4333	1400	1137	1810	1649	3781	4659
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	4007	5399	5779	5397	3896	4540	1542	1275	1885	1838	4082	5093
COG0066	3-isopropylmalate dehydratase small subunit	1911	2547	2684	2525	1839	2144	866	693	921	890	2128	2344
COG0067	Glutamate synthase domain 1	2541	3323	3234	3154	2338	2577	1074	815	1188	1155	2451	2900
COG0068	Hydrogenase maturation factor HypF (carbamoyltransferase)	2815	3722	3587	3781	2518	2891	821	861	1318	1185	2601	2922
COG0069	Glutamate synthase domain 2	3154	4104	4186	3982	2902	3388	1364	1034	1402	1487	3206	3562
COG0070	Glutamate synthase domain 3	1986	2604	2567	2469	1848	2004	874	639	887	856	1987	2189
COG0071	"Molecular chaperone IbpA, HSP20 family"	4469	5535	5944	5037	4690	5190	2119	2174	2717	2684	5898	4822
COG0072	Phenylalanyl-tRNA synthetase beta subunit	5711	7786	8418	7924	5484	6688	2250	1688	2843	2513	5738	8066
COG0073	tRNA-binding EMAP/Myf domain	1674	2299	2284	2154	1596	2076	755	678	883	871	1929	2247
COG0074	"Succinyl-CoA synthetase, alpha subunit"	2127	2764	2943	2793	2042	2422	1006	778	1115	1052	2414	2789
COG0075	"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG"	4460	6116	6583	5889	4072	4960	1527	1422	2008	1973	4238	5870
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	4830	6162	6852	6418	4338	4830	1648	1278	2010	1882	4148	6739
COG0077	Prephenate dehydratase	2513	3403	3404	3242	2309	2631	1044	824	1202	1161	2498	3176
COG0078	Ornithine carbamoyltransferase	2592	3527	3668	3323	2499	2878	1056	841	1283	1292	2596	3524
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	6126	8187	8539	8370	5694	6628	2220	1822	2747	2724	5911	7771
COG0080	Ribosomal protein L11	1058	1439	1523	1478	1045	1374	519	460	608	597	1366	1280
COG0081	Ribosomal protein L1	1569	2136	2377	2186	1579	1959	722	638	898	825	1860	2041
COG0082	Chorismate synthase	2728	3693	3837	3702	2587	3067	1137	907	1355	1278	2686	3545
COG0083	Homoserine kinase	1592	2107	2277	2176	1403	1621	777	490	904	739	1555	2174
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	2851	3942	3995	3828	2879	3456	1111	934	1429	1352	3107	3876
COG0085	"DNA-directed RNA polymerase, beta subunit/140 kD subunit"	5055	7049	7536	7001	5295	6921	2209	1938	2575	2510	6220	5974
COG0086	"DNA-directed RNA polymerase, beta' subunit/160 kD subunit"	3955	5200	5439	5328	3912	5103	1829	1568	2087	1931	5005	4489
COG0087	Ribosomal protein L3	1618	2272	2363	2224	1656	2031	712	637	872	827	1888	2086
COG0088	Ribosomal protein L4	1390	2051	2110	2014	1456	1803	638	552	797	760	1742	1915
COG0089	Ribosomal protein L23	928	1289	1259	1204	930	1133	439	393	556	494	1225	1102
COG0090	Ribosomal protein L2	1627	2221	2402	2203	1665	2100	781	626	860	835	1984	1930
COG0091	Ribosomal protein L22	962	1352	1412	1311	1020	1267	464	436	573	534	1320	1282
COG0092	Ribosomal protein S3	1285	1744	1839	1726	1244	1723	604	544	709	694	1648	1555
COG0093	Ribosomal protein L14	893	1223	1270	1224	928	1160	455	378	504	467	1219	1064
COG0094	Ribosomal protein L5	1301	1766	1864	1753	1338	1601	618	464	728	663	1649	1583
COG0095	Lipoate-protein ligase A	821	847	931	796	685	750	344	298	389	377	811	1006
COG0096	Ribosomal protein S8	1124	1572	1613	1529	1144	1447	557	505	653	635	1387	1469
COG0097	Ribosomal protein L6P/L9E	1423	2001	2159	2043	1441	1842	655	531	779	739	1716	1794
COG0098	Ribosomal protein S5	1146	1589	1698	1551	1138	1492	528	451	683	574	1503	1409
COG0099	Ribosomal protein S13	923	1252	1392	1291	957	1180	466	389	566	527	1261	1141
COG0100	Ribosomal protein S11	839	1174	1203	1168	866	1087	426	367	514	477	1135	1018
COG0101	"tRNA U38,U39,U40 pseudouridine synthase TruA"	2308	3543	3395	3549	2335	2862	992	777	1247	1150	2468	3561
COG0102	Ribosomal protein L13	1214	1765	1792	1711	1245	1610	541	510	731	656	1572	1622
COG0103	Ribosomal protein S9	1103	1540	1546	1448	1036	1394	505	442	629	594	1414	1368
COG0104	Adenylosuccinate synthase	3389	4482	4851	4640	3248	3864	1314	1066	1737	1601	3386	4274
COG0105	Nucleoside diphosphate kinase	1435	2058	2234	2014	1412	1815	625	518	756	732	1789	1840
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	2029	2836	2797	2750	1968	2282	891	701	1024	958	2027	2717
COG0107	Imidazole glycerol phosphate synthase subunit HisF	1920	2627	2765	2508	1770	2116	777	643	931	897	1966	2579
COG0108	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	1568	2269	2119	2118	1507	1770	740	555	805	803	1864	2181
COG0109	Polyprenyltransferase (heme O synthase)	2745	3738	3900	3807	2449	3085	1103	868	1341	1209	2743	3435
COG0110	Acetyltransferase (isoleucine patch superfamily)	2060	2615	2530	2453	1961	2112	1024	637	1054	953	2354	2612
