Taxon	Abundance	Fraction Abundance
coded_by=complement(505008..508160),organism=Hydrocarboniphaga effusa AP103,definition=multidrug resistance protein	10.555	0.0129
coded_by=complement(5921553..5924654),organism=Klebsiella oxytoca,definition=acriflavine resistance protein B	9.143	0.0112
coded_by=complement(356613..359792),organism=Caulobacter sp. Root342,definition=multidrug transporter	5.677	0.0069
coded_by=74096..77245,organism=Xanthomonas fuscans subsp. aurantifolii str. ICPB 11122,definition=multidrug efflux transporter	2.252	0.0028
coded_by=56477..59623,organism=Serratia odorifera DSM 4582,definition=RND transporter, HAE1 family	1.087	0.0013
coded_by=complement(894572..897772),organism=Burkholderia oklahomensis C6786,definition=RND transporter, hydrophobe/amphiphile efflux-1 family protein	1.886	0.0023
coded_by=202910..206026,organism=Alcanivorax sp. 19-m-6,definition=AcrB/AcrD/AcrFa family protein	5.202	0.0064
coded_by=complement(66826..69969),organism=Pelomonas sp. Root1444,definition=multidrug transporter	1.494	0.0018
coded_by=3776576..3779674,organism=Pseudomonas protegens Pf-5,definition=acriflavine resistance protein B	1.608	0.0020
coded_by=169752..172895,organism=Shewanella violacea DSS12,definition=AcrB/AcrD/AcrF family protein	2.337	0.0029
coded_by=complement(5840..8983),organism=Xanthomonas arboricola pv. pruni str. MAFF 311562,definition=multidrug efflux transporter	6.0440000000000005	0.0074
coded_by=91533..94694,organism=Pseudomonas fluorescens,definition=multidrug transporter	0.992	0.0012
coded_by=complement(3321923..3325117),organism=Burkholderia sp. CCGE1003,definition=transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	6.5120000000000005	0.0080
coded_by=111268..114390,organism=Stenotrophomonas maltophilia,definition=multidrug efflux RND transporter permease	0.541	0.0007
coded_by=28396..31515,organism=Arenimonas composti TR7-09 = DSM 18010,definition=hypothetical protein	2.896	0.0035
coded_by=complement(7530..10637),organism=Oceanobacter sp. HI0075,definition=aminoglycoside/multidrug transporter subunit AcrD	6.578	0.0080
coded_by=complement(835..4035),organism=Burkholderia ubonensis,definition=multidrug transporter	1.435	0.0018
coded_by=complement(59786..62896),organism=Pectobacterium carotovorum,definition=multidrug transporter	2.026	0.0025
coded_by=complement(229549..232710),organism=Pantoea sp. AS-PWVM4,definition=RND efflux system, inner membrane transporter CmeB	0.899	0.0011
coded_by=1628548..1631670,organism=Opitutaceae bacterium TAV5,definition=multidrug transporter	2.713	0.0033
coded_by=complement(868813..871983),organism=Microbulbifer sp. ZGT114,definition=multidrug transporter	1.4	0.0017
coded_by=complement(647941..651105),organism=Anaeromyxobacter sp. Fw109-5,definition=transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	14.802999999999999	0.0181
coded_by=103480..106620,organism=Myxococcus xanthus DK 1622,definition=efflux transporter, HAE1 family, inner membrane component	3.155	0.0039
coded_by=complement(68513..71647),organism=Pseudomonas stutzeri MF28,definition=multidrug transporter	2.2889999999999997	0.0028
